Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,10105,,10105,,10105,Lindsey Herbert,4,African American Studies,R1AN,001,A,Letter Grade,A,R & C Sum Bdg
4,10105,,10105,,10105,Lindsey Herbert,3.7,African American Studies,R1AN,001,A,Letter Grade,A-,R & C Sum Bdg
4,10105,,10105,,10105,Lindsey Herbert,3.3,African American Studies,R1AN,001,B,Letter Grade,B+,R & C Sum Bdg
3,10105,,10105,,10105,Lindsey Herbert,3,African American Studies,R1AN,001,B,Letter Grade,B,R & C Sum Bdg
1,10105,,10105,,10105,Lindsey Herbert,2.7,African American Studies,R1AN,001,B,Letter Grade,B-,R & C Sum Bdg
1,10105,,10105,,10105,Lindsey Herbert,2.3,African American Studies,R1AN,001,C,Letter Grade,C+,R & C Sum Bdg
3,10110,,10110,,10110,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
3,10110,,10110,,10110,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
1,10110,,10110,,10110,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
2,10110,,10110,,10110,Aparajita Nanda,2.7,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Composition
1,10110,,10110,,10110,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
1,10110,,10110,,10110,Aparajita Nanda,0,African American Studies,R1B,001,F,Letter Grade,F,Freshmn Composition
1,10110,,10110,,10110,Aparajita Nanda,,African American Studies,R1B,001,Credit,Non-Letter Grade,Pass,Freshmn Composition
4,10120,,10120,,10120,Aparajita Nanda,4,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Composition
3,10120,,10120,,10120,Aparajita Nanda,3.7,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Composition
2,10120,,10120,,10120,Aparajita Nanda,3.3,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Composition
1,10120,,10120,,10120,Aparajita Nanda,3,African American Studies,R1B,002,B,Letter Grade,B,Freshmn Composition
4,10120,,10120,,10120,Aparajita Nanda,2.7,African American Studies,R1B,002,B,Letter Grade,B-,Freshmn Composition
2,10130,,10130,,10130,Aparajita Nanda,4,African American Studies,R1B,003,A,Letter Grade,A,Freshmn Composition
3,10130,,10130,,10130,Aparajita Nanda,3.7,African American Studies,R1B,003,A,Letter Grade,A-,Freshmn Composition
3,10130,,10130,,10130,Aparajita Nanda,3.3,African American Studies,R1B,003,B,Letter Grade,B+,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,2.7,African American Studies,R1B,003,B,Letter Grade,B-,Freshmn Composition
3,10130,,10130,,10130,Aparajita Nanda,2.3,African American Studies,R1B,003,C,Letter Grade,C+,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,2,African American Studies,R1B,003,C,Letter Grade,C,Freshmn Composition
1,10130,,10130,,10130,Aparajita Nanda,0,African American Studies,R1B,003,F,Letter Grade,F,Freshmn Composition
2,10140,,10140,,10140,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A+,Africa:  Hist & Cul
1,10140,,10140,,10140,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A,Africa:  Hist & Cul
1,10140,,10140,,10140,G. Ugo Nwokeji,3.7,African American Studies,4A,001,A,Letter Grade,A-,Africa:  Hist & Cul
1,10140,,10140,,10140,G. Ugo Nwokeji,3.3,African American Studies,4A,001,B,Letter Grade,B+,Africa:  Hist & Cul
3,10140,,10140,,10140,G. Ugo Nwokeji,3,African American Studies,4A,001,B,Letter Grade,B,Africa:  Hist & Cul
1,10140,,10140,,10140,G. Ugo Nwokeji,2.3,African American Studies,4A,001,C,Letter Grade,C+,Africa:  Hist & Cul
1,10140,,10140,,10140,G. Ugo Nwokeji,,African American Studies,4A,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
4,10150,,10150,,10150,Arif Gamal,4,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & Cul
10,10150,,10150,,10150,Arif Gamal,4,African American Studies,4B,001,A,Letter Grade,A,Africa:  Hist & Cul
9,10150,,10150,,10150,Arif Gamal,3.7,African American Studies,4B,001,A,Letter Grade,A-,Africa:  Hist & Cul
5,10150,,10150,,10150,Arif Gamal,3.3,African American Studies,4B,001,B,Letter Grade,B+,Africa:  Hist & Cul
2,10150,,10150,,10150,Arif Gamal,3,African American Studies,4B,001,B,Letter Grade,B,Africa:  Hist & Cul
1,10150,,10150,,10150,Arif Gamal,2.7,African American Studies,4B,001,B,Letter Grade,B-,Africa:  Hist & Cul
1,10150,,10150,,10150,Arif Gamal,0,African American Studies,4B,001,F,Letter Grade,F,Africa:  Hist & Cul
1,10150,,10150,,10150,Arif Gamal,,African American Studies,4B,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
2,10160,,10160,,10160,Cara Stanley,4,African American Studies,39D,001,A,Letter Grade,A,Fresh/Soph Seminar
3,10160,,10160,,10160,Cara Stanley,3.7,African American Studies,39D,001,A,Letter Grade,A-,Fresh/Soph Seminar
3,10160,,10160,,10160,Cara Stanley,3.3,African American Studies,39D,001,B,Letter Grade,B+,Fresh/Soph Seminar
